ACCEL_XOUT_H,ACCEL_YOUT_H,ACCEL_ZOUT_H,GYRO_XOUT_H,GYRO_YOUT_H,GYRO_ZOUT_H,FLEX1,FLEX2,FLEX3,FLEX4,FLEX5,CHECKSUM,target
6788,15016,5652,-52,7,-32,240,169,127,189,181,28285,good
6664,14796,6148,-41,6,-23,240,173,133,192,181,28469,good
6832,14892,5908,-35,-3,-19,240,173,133,192,181,28494,good
6792,15004,5900,-53,24,-23,240,173,134,192,181,28564,good
6792,15164,6156,-41,-5,-34,240,173,134,192,181,28952,good
6684,14864,6204,-44,-14,-27,240,173,134,192,181,28587,good
6772,14924,6144,-35,9,-4,240,173,134,192,181,28730,good
6720,15036,6176,-51,-4,-27,240,173,134,192,181,28770,good
6724,15204,6204,-32,-7,-14,240,173,134,192,181,28999,good
6668,15244,6104,-45,13,-32,240,173,134,192,181,28872,good
6648,15168,6104,-63,11,-30,240,174,134,192,181,28759,good
6752,15036,5992,-44,-6,-12,240,173,134,192,181,28638,good
6588,14992,6068,-17,22,0,240,174,134,192,181,28574,good
6496,15044,6196,-30,4,-13,240,174,134,192,181,28618,good
6560,15152,5900,-41,5,-15,240,174,134,192,181,28482,good
6688,15004,5712,-45,-19,-25,240,174,134,192,181,28236,good
6868,15108,6108,-30,1,11,240,174,134,192,181,28987,good
6444,15168,6052,-59,-1,-25,240,174,134,192,181,28500,good
6660,14964,6380,-42,-21,-19,240,174,134,192,181,28843,good
6536,15088,5928,-47,-10,-29,240,174,134,192,181,28387,good
6520,15224,5968,-50,-9,-11,240,174,134,192,181,28563,good
6608,14980,6020,-44,8,-25,240,174,134,192,181,28468,good
6480,15260,6032,-47,13,-4,240,174,134,192,181,28655,good
6460,15156,6060,-38,3,-25,240,174,134,192,181,28537,good
6456,15224,5940,-53,-4,-9,240,174,134,192,181,28475,good
6296,15288,6076,-45,-17,-13,240,174,134,192,181,28506,good
6448,15196,6024,-44,4,-28,240,174,134,192,181,28521,good
6424,14912,6076,-43,2,-25,240,174,134,192,181,28267,good
6628,15244,6324,-29,-6,-4,240,174,134,193,181,29079,good
6420,15132,6088,-39,-3,-22,240,174,134,192,181,28497,good
6468,15312,5964,-47,-4,-19,240,174,134,193,181,28596,good
6424,14648,5908,-11,32,-25,240,174,134,192,181,27897,good
6604,15176,5632,-68,-78,-55,240,174,134,192,181,28132,good
6444,15212,5924,-96,-35,17,240,174,134,192,181,28387,good
6400,14956,6188,-17,-26,-40,240,174,134,192,181,28382,good
5984,15532,6052,-61,-25,-99,240,174,134,193,181,28305,good
6108,15448,5484,-51,-18,9,240,174,134,193,181,27902,good
6140,15328,5832,-60,23,-46,240,174,134,193,181,28139,good
5632,15448,5812,-67,-5,-35,239,174,134,193,181,27706,good
6232,15144,5712,-52,-15,-17,239,174,134,192,181,27924,good
6068,15140,5512,-68,-9,-13,239,174,134,192,181,27550,good
5856,15208,6044,-98,-43,-5,239,174,134,192,181,27882,good
5976,15448,6132,-41,-16,-40,239,174,133,192,181,28378,good
5812,15476,6216,-41,-1,-6,239,174,134,192,181,28376,good
5960,14868,6120,-50,4,-19,239,174,134,192,181,27803,good
5916,15332,6000,-48,6,-5,239,174,134,192,181,28121,good
6008,15256,6084,-34,2,-10,239,174,134,193,181,28227,good
6052,15448,6208,-52,10,-16,239,174,134,193,181,28571,good
5880,15404,6216,-56,2,-12,239,174,134,192,181,28354,good
5912,15280,6304,-35,-8,-22,239,174,134,192,181,28351,good
6120,15160,6108,-60,16,-49,239,174,134,192,181,28215,good
5920,15324,6284,-44,12,-33,239,174,134,192,181,28383,good
5992,15264,6600,-64,-5,-14,239,174,134,192,181,28693,good
5904,15196,6420,-54,11,-11,239,174,134,192,181,28386,good
6004,15248,6388,-52,16,-22,239,175,134,192,181,28503,good
5812,15220,6144,-27,-7,-31,239,175,134,192,181,28032,good
5832,15128,6560,-49,3,-28,239,175,134,192,181,28367,good
5948,15272,6432,-37,-6,-21,239,175,134,192,181,28509,good
5908,15428,6196,-54,-3,-12,239,175,134,192,181,28384,good
5664,15268,6288,-36,-16,-10,239,175,133,192,181,28078,good
5836,15028,6520,-34,0,-29,239,175,133,192,181,28241,good
5912,15300,6160,-41,7,-29,239,175,134,192,181,28230,good
6064,15192,6344,-52,-9,-13,239,175,134,192,181,28447,good
5816,15496,6384,-40,4,-18,239,175,134,192,181,28563,good
5792,15164,6384,-52,9,-38,239,175,134,192,181,28180,good
5924,14960,6584,-53,-1,-30,239,175,134,193,181,28306,good
5792,15148,6356,-47,-19,2,239,175,134,192,181,28153,good
6032,15284,6356,-60,-12,-20,239,175,134,193,181,28502,good
5920,15176,6440,-30,14,-5,239,175,134,192,181,28436,good
5792,15380,6496,-45,-5,-7,239,175,134,193,181,28533,good
5820,15160,6704,-52,1,-24,239,175,134,192,181,28530,good
5900,15048,6528,-49,3,-7,239,175,134,192,181,28344,good
6072,14996,6476,-32,-7,-6,239,175,134,192,181,28420,good
6168,15332,6196,-63,8,-33,239,175,134,193,181,28530,good
5748,15200,6648,-49,8,-18,239,175,134,193,181,28459,good
6076,15008,6572,-40,3,-29,239,175,134,193,181,28512,good
5932,15232,6488,-59,-3,-22,239,175,134,193,181,28490,good
5868,15132,6660,-27,8,-29,239,175,134,193,181,28534,good
5928,15416,6356,-78,-16,-11,239,175,134,192,181,28516,good
5864,15320,6792,-54,15,-12,239,175,134,193,181,28847,good
6060,15364,6328,-64,-7,-28,239,175,133,192,181,28573,good
5832,15052,6596,-47,-3,-20,239,175,134,192,181,28331,good
5960,15252,6504,-32,10,-16,239,175,134,192,181,28599,good
6048,15208,6404,-57,2,-22,239,175,134,193,181,28505,good
6016,15052,6356,-47,-5,-13,239,175,134,192,181,28280,good
6128,15124,6640,-53,-4,-20,239,175,134,192,181,28736,good
6000,15272,6580,-62,14,-22,239,175,134,193,181,28704,good
5940,15104,6444,-44,-17,-6,239,175,134,193,181,28343,good
5912,15228,6624,-37,-1,-6,239,175,134,192,181,28641,good
6096,15204,6624,-50,-13,-21,239,175,133,192,181,28760,good
5948,15108,6596,-48,-12,-18,239,175,133,192,181,28494,good
6120,15228,6640,-53,15,-16,239,175,133,192,181,28854,good
5936,15108,6796,-38,0,-15,239,175,133,192,181,28707,good
6076,14948,6500,-45,6,-29,239,175,133,192,181,28376,good
5768,15240,6684,-51,-1,-30,239,175,134,192,181,28531,good
6072,14848,6736,-43,-6,-28,239,175,134,192,181,28500,good
